Validator,PT_VERSION,2.3.0
Validator,ROCM_VERSION,6.0.0.0-91-08e5094
Validator,HIPBLASLT_VERSION,0.6.0-592518e7
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.0.0-88df9726-dirty
GemmTunableOp_Half_TN,tn_14336_2048_8192,Gemm_Hipblaslt_TN_21908,0.965463
GemmTunableOp_Half_TN,tn_8192_96_4096,Gemm_Hipblaslt_TN_21647,0.0358275
GemmTunableOp_Half_TN,tn_10240_232_8192,Gemm_Hipblaslt_TN_22140,0.101732
GemmTunableOp_Half_TN,tn_5120_32768_8192,Gemm_Hipblaslt_TN_22051,4.55725
GemmTunableOp_Half_TN,tn_8192_240_28672,Gemm_Hipblaslt_TN_22087,0.307821
GemmTunableOp_Half_TN,tn_8192_104_8192,Gemm_Hipblaslt_TN_22062,0.0573243
GemmTunableOp_Half_TN,tn_8192_232_14336,Gemm_Hipblaslt_TN_22087,0.157222
GemmTunableOp_Half_TN,tn_10240_216_8192,Gemm_Hipblaslt_TN_22173,0.0943097
GemmTunableOp_Half_TN,tn_28672_240_8192,Gemm_Hipblaslt_TN_21797,0.300892
GemmTunableOp_Half_TN,tn_14336_32768_8192,Gemm_Hipblaslt_TN_22051,13.6188
GemmTunableOp_Half_TN,tn_57344_256_8192,Gemm_Hipblaslt_TN_22029,0.590088
GemmTunableOp_Half_TN,tn_8192_16384_7168,Gemm_Hipblaslt_TN_22029,3.84105
GemmTunableOp_Half_TN,tn_8192_216_4096,Gemm_Hipblaslt_TN_22197,0.0513445
GemmTunableOp_Half_TN,tn_5120_248_8192,Gemm_Hipblaslt_TN_22172,0.0684963
GemmTunableOp_Half_TN,tn_8192_240_14336,Gemm_Hipblaslt_TN_22087,0.157585
GemmTunableOp_Half_TN,tn_8192_192_4096,Gemm_Hipblaslt_TN_21949,0.0486632
GemmTunableOp_Half_TN,tn_5120_216_8192,Gemm_Hipblaslt_TN_22137,0.0593367
GemmTunableOp_Half_TN,tn_8192_216_8192,Gemm_Hipblaslt_TN_22197,0.0787818
GemmTunableOp_Half_TN,tn_8192_232_28672,Gemm_Hipblaslt_TN_22339,0.302836
GemmTunableOp_Half_TN,tn_8192_8_14336,Gemm_Hipblaslt_TN_23386,0.0526188
GemmTunableOp_Half_TN,tn_28672_192_8192,Gemm_Hipblaslt_TN_21951,0.232552
